# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.3, 'makespec': True, 'units': 'nm', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 30 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 2000 points.
#
# Wavelen. [nm]        Abs. [au]   
#----------------------------------
2.3681205240e+00    2.8678596223e-06
2.3679975082e+00    2.8940212414e-06
2.3678745052e+00    2.9205424066e-06
2.3677515150e+00    2.9474297354e-06
2.3676285375e+00    2.9746899979e-06
2.3675055728e+00    3.0023301217e-06
2.3673826209e+00    3.0303571956e-06
2.3672596817e+00    3.0587784747e-06
2.3671367554e+00    3.0876013850e-06
2.3670138417e+00    3.1168335280e-06
2.3668909409e+00    3.1464826858e-06
2.3667680528e+00    3.1765568265e-06
2.3666451775e+00    3.2070641091e-06
2.3665223149e+00    3.2380128897e-06
2.3663994651e+00    3.2694117265e-06
2.3662766280e+00    3.3012693862e-06
2.3661538037e+00    3.3335948498e-06
2.3660309922e+00    3.3663973193e-06
2.3659081934e+00    3.3996862238e-06
2.3657854073e+00    3.4334712265e-06
2.3656626340e+00    3.4677622319e-06
2.3655398734e+00    3.5025693927e-06
2.3654171256e+00    3.5379031173e-06
2.3652943905e+00    3.5737740781e-06
2.3651716681e+00    3.6101932188e-06
2.3650489585e+00    3.6471717634e-06
2.3649262616e+00    3.6847212243e-06
2.3648035774e+00    3.7228534119e-06
2.3646809060e+00    3.7615804430e-06
2.3645582472e+00    3.8009147512e-06
2.3644356013e+00    3.8408690967e-06
2.3643129680e+00    3.8814565761e-06
2.3641903474e+00    3.9226906339e-06
2.3640677396e+00    3.9645850731e-06
2.3639451445e+00    4.0071540670e-06
2.3638225621e+00    4.0504121709e-06
2.3636999924e+00    4.0943743348e-06
2.3635774354e+00    4.1390559162e-06
2.3634548912e+00    4.1844726936e-06
2.3633323596e+00    4.2306408802e-06
2.3632098408e+00    4.2775771384e-06
2.3630873346e+00    4.3252985951e-06
2.3629648412e+00    4.3738228569e-06
2.3628423604e+00    4.4231680267e-06
2.3627198923e+00    4.4733527202e-06
2.3625974370e+00    4.5243960838e-06
2.3624749943e+00    4.5763178125e-06
2.3623525643e+00    4.6291381691e-06
2.3622301470e+00    4.6828780039e-06
2.3621077424e+00    4.7375587753e-06
2.3619853505e+00    4.7932025709e-06
2.3618629713e+00    4.8498321303e-06
2.3617406047e+00    4.9074708679e-06
2.3616182508e+00    4.9661428971e-06
2.3614959096e+00    5.0258730556e-06
2.3613735811e+00    5.0866869317e-06
2.3612512653e+00    5.1486108916e-06
2.3611289621e+00    5.2116721078e-06
2.3610066716e+00    5.2758985891e-06
2.3608843937e+00    5.3413192117e-06
2.3607621285e+00    5.4079637512e-06
2.3606398760e+00    5.4758629168e-06
2.3605176362e+00    5.5450483868e-06
2.3603954090e+00    5.6155528448e-06
2.3602731944e+00    5.6874100190e-06
2.3601509925e+00    5.7606547221e-06
2.3600288033e+00    5.8353228933e-06
2.3599066267e+00    5.9114516427e-06
2.3597844628e+00    5.9890792969e-06
2.3596623115e+00    6.0682454477e-06
2.3595401729e+00    6.1489910019e-06
2.3594180469e+00    6.2313582344e-06
2.3592959335e+00    6.3153908435e-06
2.3591738328e+00    6.4011340087e-06
2.3590517447e+00    6.4886344511e-06
2.3589296693e+00    6.5779404973e-06
2.3588076065e+00    6.6691021457e-06
2.3586855563e+00    6.7621711368e-06
2.3585635188e+00    6.8572010258e-06
2.3584414938e+00    6.9542472601e-06
2.3583194816e+00    7.0533672601e-06
2.3581974819e+00    7.1546205032e-06
