# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.3, 'makespec': True, 'units': 'nm', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 10 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 2000 points.
#
# Wavelen. [nm]        Abs. [au]   
#----------------------------------
6.1800343894e+02    3.1248083109e-07
6.1292523635e+02    3.1421828630e-07
6.0792980988e+02    3.1597026973e-07
6.0301515198e+02    3.1773694376e-07
5.9817931951e+02    3.1951847307e-07
5.9342043114e+02    3.2131502463e-07
5.8873666496e+02    3.2312676778e-07
5.8412625612e+02    3.2495387425e-07
5.7958749462e+02    3.2679651819e-07
5.7511872319e+02    3.2865487624e-07
5.7071833531e+02    3.3052912755e-07
5.6638477323e+02    3.3241945382e-07
5.6211652616e+02    3.3432603938e-07
5.5791212851e+02    3.3624907117e-07
5.5377015822e+02    3.3818873887e-07
5.4968923514e+02    3.4014523487e-07
5.4566801952e+02    3.4211875435e-07
5.4170521050e+02    3.4410949533e-07
5.3779954477e+02    3.4611765874e-07
5.3394979517e+02    3.4814344841e-07
5.3015476943e+02    3.5018707119e-07
5.2641330896e+02    3.5224873695e-07
5.2272428761e+02    3.5432865868e-07
5.1908661061e+02    3.5642705250e-07
5.1549921343e+02    3.5854413774e-07
5.1196106079e+02    3.6068013700e-07
5.0847114561e+02    3.6283527621e-07
5.0502848811e+02    3.6500978467e-07
5.0163213486e+02    3.6720389513e-07
4.9828115789e+02    3.6941784383e-07
4.9497465388e+02    3.7165187061e-07
4.9171174332e+02    3.7390621892e-07
4.8849156975e+02    3.7618113591e-07
4.8531329898e+02    3.7847687250e-07
4.8217611840e+02    3.8079368347e-07
4.7907923629e+02    3.8313182748e-07
4.7602188113e+02    3.8549156718e-07
4.7300330095e+02    3.8787316927e-07
4.7002276276e+02    3.9027690459e-07
4.6707955192e+02    3.9270304817e-07
4.6417297158e+02    3.9515187933e-07
4.6130234213e+02    3.9762368176e-07
4.5846700067e+02    4.0011874359e-07
4.5566630048e+02    4.0263735749e-07
4.5289961057e+02    4.0517982074e-07
4.5016631517e+02    4.0774643532e-07
4.4746581329e+02    4.1033750801e-07
4.4479751828e+02    4.1295335047e-07
4.4216085739e+02    4.1559427934e-07
4.3955527138e+02    4.1826061635e-07
4.3698021410e+02    4.2095268837e-07
4.3443515214e+02    4.2367082757e-07
4.3191956443e+02    4.2641537149e-07
4.2943294192e+02    4.2918666313e-07
4.2697478720e+02    4.3198505111e-07
4.2454461418e+02    4.3481088972e-07
4.2214194779e+02    4.3766453906e-07
4.1976632364e+02    4.4054636517e-07
4.1741728774e+02    4.4345674010e-07
4.1509439621e+02    4.4639604210e-07
4.1279721499e+02    4.4936465567e-07
4.1052531958e+02    4.5236297173e-07
4.0827829476e+02    4.5539138774e-07
4.0605573438e+02    4.5845030781e-07
4.0385724106e+02    4.6154014289e-07
4.0168242599e+02    4.6466131082e-07
3.9953090869e+02    4.6781423658e-07
3.9740231679e+02    4.7099935232e-07
3.9529628581e+02    4.7421709760e-07
3.9321245894e+02    4.7746791951e-07
3.9115048690e+02    4.8075227278e-07
3.8911002765e+02    4.8407062003e-07
3.8709074627e+02    4.8742343185e-07
3.8509231476e+02    4.9081118701e-07
3.8311441185e+02    4.9423437262e-07
3.8115672284e+02    4.9769348430e-07
3.7921893944e+02    5.0118902637e-07
3.7730075958e+02    5.0472151202e-07
3.7540188728e+02    5.0829146351e-07
3.7352203249e+02    5.1189941236e-07
3.7166091093e+02    5.1554589954e-07
3.6981824398e+02    5.1923147569e-07
3.6799375849e+02    5.2295670131e-07
3.6618718670e+02    5.2672214696e-07
3.6439826606e+02    5.3052839353e-07
3.6262673915e+02    5.3437603242e-07
3.6087235351e+02    5.3826566575e-07
3.5913486154e+02    5.4219790668e-07
3.5741402041e+02    5.4617337955e-07
3.5570959191e+02    5.5019272019e-07
3.5402134233e+02    5.5425657617e-07
3.5234904242e+02    5.5836560703e-07
3.5069246719e+02    5.6252048457e-07
3.4905139591e+02    5.6672189314e-07
3.4742561194e+02    5.7097052987e-07
3.4581490265e+02    5.7526710501e-07
3.4421905934e+02    5.7961234220e-07
3.4263787716e+02    5.8400697879e-07
3.4107115498e+02    5.8845176613e-07
3.3951869536e+02    5.9294746991e-07
3.3798030442e+02    5.9749487047e-07
3.3645579177e+02    6.0209476319e-07
3.3494497048e+02    6.0674795875e-07
3.3344765691e+02    6.1145528357e-07
3.3196367073e+02    6.1621758012e-07
3.3049283479e+02    6.2103570733e-07
3.2903497506e+02    6.2591054095e-07
3.2758992057e+02    6.3084297399e-07
3.2615750335e+02    6.3583391708e-07
3.2473755835e+02    6.4088429890e-07
3.2332992338e+02    6.4599506664e-07
3.2193443904e+02    6.5116718642e-07
3.2055094870e+02    6.5640164374e-07
3.1917929837e+02    6.6169944398e-07
3.1781933673e+02    6.6706161283e-07
3.1647091498e+02    6.7248919685e-07
3.1513388687e+02    6.7798326392e-07
3.1380810861e+02    6.8354490381e-07
3.1249343879e+02    6.8917522868e-07
3.1118973839e+02    6.9487537367e-07
3.0989687069e+02    7.0064649746e-07
3.0861470122e+02    7.0648978283e-07
3.0734309776e+02    7.1240643732e-07
3.0608193022e+02    7.1839769381e-07
3.0483107066e+02    7.2446481115e-07
3.0359039322e+02    7.3060907487e-07
3.0235977409e+02    7.3683179783e-07
3.0113909142e+02    7.4313432092e-07
2.9992822538e+02    7.4951801378e-07
2.9872705800e+02    7.5598427553e-07
2.9753547324e+02    7.6253453559e-07
2.9635335687e+02    7.6917025440e-07
2.9518059649e+02    7.7589292427e-07
2.9401708147e+02    7.8270407021e-07
2.9286270289e+02    7.8960525079e-07
2.9171735358e+02    7.9659805903e-07
2.9058092800e+02    8.0368412334e-07
2.8945332228e+02    8.1086510843e-07
2.8833443412e+02    8.1814271629e-07
2.8722416282e+02    8.2551868723e-07
2.8612240924e+02    8.3299480089e-07
2.8502907571e+02    8.4057287731e-07
2.8394406609e+02    8.4825477805e-07
2.8286728567e+02    8.5604240732e-07
2.8179864119e+02    8.6393771317e-07
2.8073804079e+02    8.7194268868e-07
2.7968539398e+02    8.8005937325e-07
2.7864061162e+02    8.8828985388e-07
2.7760360592e+02    8.9663626647e-07
2.7657429036e+02    9.0510079729e-07
2.7555257972e+02    9.1368568433e-07
2.7453839002e+02    9.2239321879e-07
2.7353163854e+02    3.0096215619e-06
2.7253224374e+02    3.0301379819e-06
2.7154012527e+02    3.0508808925e-06
2.7055520396e+02    3.0718538936e-06
2.6957740178e+02    3.0930606618e-06
2.6860664181e+02    3.1145049523e-06
2.6764284825e+02    3.1361906009e-06
2.6668594639e+02    3.1581215263e-06
2.6573586256e+02    3.1803017325e-06
2.6479252415e+02    3.2027353108e-06
2.6385585958e+02    3.2254264425e-06
2.6292579829e+02    3.2483794014e-06
2.6200227067e+02    3.2715985560e-06
2.6108520814e+02    3.2950883727e-06
2.6017454303e+02    3.3188534184e-06
2.5927020865e+02    3.3428983632e-06
2.5837213919e+02    3.3672279833e-06
2.5748026979e+02    3.3918471643e-06
2.5659453645e+02    3.4167609044e-06
2.5571487608e+02    3.4419743174e-06
2.5484122643e+02    3.4674926361e-06
2.5397352610e+02    3.4933212162e-06
2.5311171453e+02    3.5194655395e-06
2.5225573197e+02    3.5459312179e-06
2.5140551948e+02    3.5727239972e-06
2.5056101892e+02    3.5998497612e-06
2.4972217291e+02    3.6273145359e-06
2.4888892486e+02    3.6551244938e-06
2.4806121892e+02    3.6832859584e-06
2.4723899998e+02    3.7118054089e-06
2.4642221364e+02    3.7406894850e-06
2.4561080626e+02    3.7699449920e-06
2.4480472487e+02    3.7995789061e-06
2.4400391721e+02    3.8295983795e-06
2.4320833168e+02    3.8600107464e-06
2.4241791737e+02    3.8908235286e-06
2.4163262403e+02    3.9220444416e-06
2.4085240205e+02    3.9536814010e-06
2.4007720247e+02    3.9857425290e-06
2.3930697694e+02    4.0182361613e-06
2.3854167774e+02    4.0511708539e-06
2.3778125776e+02    4.0845553908e-06
2.3702567049e+02    4.1183987916e-06
2.3627487001e+02    4.1527103191e-06
2.3552881096e+02    4.1874994883e-06
2.3478744858e+02    4.2227760743e-06
2.3405073866e+02    4.2585501220e-06
2.3331863753e+02    4.2948319547e-06
2.3259110208e+02    4.3316321845e-06
2.3186808974e+02    4.3689617224e-06
2.3114955846e+02    4.4068317885e-06
2.3043546671e+02    4.4452539234e-06
2.2972577346e+02    4.4842399999e-06
2.2902043820e+02    4.5238022345e-06
2.2831942092e+02    4.5639532004e-06
2.2762268209e+02    4.6047058406e-06
2.2693018265e+02    4.6460734812e-06
2.2624188402e+02    4.6880698464e-06
2.2555774811e+02    4.7307090727e-06
2.2487773727e+02    4.7740057250e-06
2.2420181428e+02    4.8179748129e-06
2.2352994242e+02    4.8626318075e-06
2.2286208535e+02    4.9079926596e-06
2.2219820721e+02    4.9540738182e-06
2.2153827254e+02    5.0008922502e-06
2.2088224631e+02    5.0484654608e-06
2.2023009391e+02    5.0968115150e-06
2.1958178111e+02    5.1459490601e-06
2.1893727411e+02    5.1958973494e-06
2.1829653949e+02    5.2466762669e-06
2.1765954424e+02    5.2983063529e-06
2.1702625571e+02    5.3508088319e-06
2.1639664165e+02    5.4042056403e-06
2.1577067015e+02    5.4585194574e-06
2.1514830972e+02    5.5137737362e-06
2.1452952918e+02    5.5699927365e-06
2.1391429774e+02    5.6272015603e-06
2.1330258495e+02    5.6854261879e-06
2.1269436071e+02    5.7446935166e-06
2.1208959527e+02    5.8050314012e-06
2.1148825920e+02    5.8664686968e-06
2.1089032342e+02    5.9290353036e-06
2.1029575917e+02    5.9927622144e-06
2.0970453800e+02    6.0576815645e-06
2.0911663181e+02    6.1238266842e-06
2.0853201280e+02    6.1912321547e-06
2.0795065346e+02    6.2599338667e-06
2.0737252661e+02    6.3299690818e-06
2.0679760537e+02    6.4013764989e-06
2.0622586315e+02    6.4741963223e-06
2.0565727366e+02    6.5484703358e-06
2.0509181088e+02    6.6242419794e-06
2.0452944910e+02    6.7015564313e-06
2.0397016288e+02    6.7804606950e-06
2.0341392706e+02    6.8610036906e-06
2.0286071674e+02    6.9432363527e-06
2.0231050732e+02    7.0272117334e-06
2.0176327444e+02    7.1129851118e-06
2.0121899401e+02    7.2006141104e-06
2.0067764220e+02    7.2901588190e-06
2.0013919544e+02    7.3816819253e-06
1.9960363041e+02    7.4752488552e-06
1.9907092403e+02    7.5709279211e-06
1.9854105348e+02    7.6687904798e-06
1.9801399618e+02    7.7689111013e-06
1.9748972977e+02    7.8713677480e-06
1.9696823215e+02    7.9762419665e-06
1.9644948144e+02    8.0836190914e-06
1.9593345600e+02    8.1935884637e-06
1.9542013440e+02    8.3062436637e-06
1.9490949546e+02    8.4216827600e-06
1.9440151819e+02    8.5400085761e-06
1.9389618184e+02    8.6613289755e-06
1.9339346587e+02    8.7857571671e-06
1.9289334995e+02    8.9134120328e-06
1.9239581396e+02    9.0444184790e-06
1.9190083799e+02    9.1789078132e-06
1.9140840233e+02    9.3170181492e-06
1.9091848747e+02    9.4588948426e-06
1.9043107411e+02    9.6046909591e-06
1.8994614313e+02    9.7545677787e-06
1.8946367563e+02    9.9086953394e-06
1.8898365287e+02    1.0067253022e-05
1.8850605633e+02    1.0230430185e-05
1.8803086765e+02    1.0398426843e-05
1.8755806867e+02    1.0571454411e-05
1.8708764141e+02    1.0749736497e-05
1.8661956807e+02    1.0933509771e-05
1.8615383102e+02    1.1123024902e-05
1.8569041282e+02    1.1318547573e-05
1.8522929619e+02    1.1520359589e-05
1.8477046402e+02    1.3266374962e-05
1.8431389939e+02    1.3490234906e-05
1.8385958553e+02    1.3721410425e-05
1.8340750582e+02    1.3960261717e-05
1.8295764384e+02    1.4207172288e-05
1.8250998330e+02    1.4462550797e-05
1.8206450809e+02    1.4726833078e-05
1.8162120223e+02    1.5000484356e-05
1.8118004993e+02    1.5284001677e-05
1.8074103553e+02    1.5577916568e-05
1.8030414352e+02    1.5882797969e-05
1.7986935855e+02    1.6199255454e-05
1.7943666542e+02    1.6527942777e-05
1.7900604906e+02    1.6869561787e-05
1.7857749456e+02    1.7224866751e-05
1.7815098714e+02    1.7594669138e-05
1.7772651218e+02    1.7979842908e-05
1.7730405517e+02    1.8381330387e-05
1.7688360177e+02    1.8800148791e-05
1.7646513775e+02    1.9237397476e-05
1.7604864903e+02    1.9694266028e-05
1.7563412166e+02    2.0172043274e-05
1.7522154180e+02    2.0672127367e-05
1.7481089578e+02    2.1196037070e-05
1.7440217002e+02    2.1745424405e-05
1.7399535108e+02    2.2322088874e-05
1.7359042566e+02    2.2927993453e-05
1.7318738057e+02    2.3565282627e-05
1.7278620273e+02    2.4236302765e-05
1.7238687921e+02    2.4943625172e-05
1.7198939717e+02    2.5690072242e-05
1.7159374390e+02    2.6478747160e-05
1.7119990682e+02    2.7313067741e-05
1.7080787345e+02    2.8196805028e-05
1.7041763142e+02    2.9134127442e-05
1.7002916849e+02    3.0129651387e-05
1.6964247252e+02    3.1188499380e-05
1.6925753147e+02    3.2316366990e-05
1.6887433343e+02    3.3519600097e-05
1.6849286659e+02    3.4805284294e-05
1.6811311923e+02    3.6181348564e-05
1.6773507977e+02    3.7656685853e-05
1.6735873671e+02    3.9241293609e-05
1.6698407865e+02    4.0946438021e-05
1.6661109430e+02    4.2784846443e-05
1.6623977247e+02    4.4770933399e-05
1.6587010207e+02    4.6921066674e-05
1.6550207211e+02    4.9253881344e-05
1.6513567169e+02    5.1790651224e-05
1.6477089002e+02    5.4555729124e-05
1.6440771638e+02    5.7577069614e-05
1.6404614018e+02    6.0886850665e-05
1.6368615089e+02    6.4522213603e-05
1.6332773809e+02    6.8526144180e-05
1.6297089144e+02    7.2948521100e-05
1.6261560071e+02    7.7847361563e-05
1.6226185574e+02    8.3290295672e-05
1.6190964646e+02    8.9356301303e-05
1.6155896290e+02    9.6137725957e-05
1.6120979516e+02    1.0374260776e-04
1.6086213344e+02    1.1229727693e-04
1.6051596801e+02    1.2194915964e-04
1.6017128923e+02    1.3286959818e-04
1.5982808756e+02    1.4525631386e-04
1.5948635350e+02    1.5933482276e-04
1.5914607768e+02    1.7535759929e-04
1.5880725077e+02    1.9359897351e-04
1.5846986354e+02    2.1434254125e-04
1.5813390683e+02    2.3785620336e-04
1.5779937157e+02    2.6434796852e-04
1.5746624876e+02    2.9389401359e-04
1.5713452946e+02    3.2633095761e-04
1.5680420482e+02    3.6111045877e-04
1.5647526608e+02    3.9713155963e-04
1.5614770452e+02    4.3259926327e-04
1.5582151151e+02    4.6500146682e-04
1.5549667850e+02    4.9132188107e-04
1.5517319700e+02    5.0855975873e-04
1.5485105858e+02    5.1447156182e-04
1.5453025492e+02    5.0825010191e-04
1.5421077771e+02    4.9079265621e-04
1.5389261876e+02    4.6440374028e-04
1.5357576992e+02    4.3210309500e-04
1.5326022312e+02    3.9689035408e-04
1.5294597034e+02    3.6124165681e-04
1.5263300365e+02    3.2691226775e-04
1.5232131517e+02    2.9496907659e-04
1.5201089707e+02    2.6593542213e-04
1.5170174161e+02    2.3995841392e-04
1.5139384111e+02    2.1695246298e-04
1.5108718793e+02    1.9670492053e-04
1.5078177451e+02    1.7894628252e-04
1.5047759334e+02    1.6339313279e-04
1.5017463700e+02    1.4977227357e-04
1.4987289808e+02    1.3783280000e-04
1.4957236928e+02    1.2735090133e-04
1.4927304331e+02    1.1813053232e-04
1.4897491299e+02    1.1000191558e-04
1.4867797115e+02    1.0281904543e-04
1.4838221070e+02    9.6456861470e-05
1.4808762461e+02    9.0808452456e-05
1.4779420590e+02    8.5782469144e-05
1.4750194765e+02    8.1300819755e-05
1.4721084297e+02    7.7296664576e-05
1.4692088506e+02    7.3712696363e-05
1.4663206715e+02    7.0499679592e-05
1.4634438253e+02    6.7615216815e-05
1.4605782455e+02    6.5022710392e-05
1.4577238659e+02    6.2690490171e-05
1.4548806211e+02    6.9292735837e-05
1.4520484461e+02    6.7450722532e-05
1.4492272762e+02    6.5797197709e-05
1.4464170476e+02    6.4313959315e-05
1.4436176966e+02    6.2985064504e-05
1.4408291602e+02    6.1796519024e-05
1.4380513759e+02    6.0736014131e-05
1.4352842816e+02    5.9792703219e-05
1.4325278157e+02    5.8957011768e-05
